Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 404/7812: Reward=-719.219, SPS=158
Update 405/7812: Reward=-741.935, SPS=158
Update 406/7812: Reward=-762.795, SPS=158
Update 407/7812: Reward=-767.595, SPS=158
Update 408/7812: Reward=-733.128, SPS=158
Update 409/7812: Reward=-728.509, SPS=158
Update 410/7812: Reward=-737.524, SPS=158
Update 411/7812: Reward=-682.041, SPS=158
Update 412/7812: Reward=-713.818, SPS=158
Update 413/7812: Reward=-749.095, SPS=158
Update 414/7812: Reward=-733.009, SPS=158
Step 0/32
Traceback (most recent call last):
  File "/Users/aidanperuch/Code/five_hundred/training/train_ppo.py", line 319, in <module>
  File "/Users/aidanperuch/Code/five_hundred/training/train_ppo.py", line 127, in train
    inf_phase = 'PLAY' if p_name == 'KITTY' else p_name
  File "/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py", line 112, in get_action_and_value
    probs = Categorical(logits=logits)
  File "/usr/local/Caskroom/miniforge/base/lib/python3.10/site-packages/torch/distributions/categorical.py", line 66, in __init__
    self.logits = logits - logits.logsumexp(dim=-1, keepdim=True)
KeyboardInterrupt
Traceback (most recent call last):
  File "/Users/aidanperuch/Code/five_hundred/training/train_ppo.py", line 319, in <module>
  File "/Users/aidanperuch/Code/five_hundred/training/train_ppo.py", line 127, in train
    inf_phase = 'PLAY' if p_name == 'KITTY' else p_name
  File "/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py", line 112, in get_action_and_value
    probs = Categorical(logits=logits)
  File "/usr/local/Caskroom/miniforge/base/lib/python3.10/site-packages/torch/distributions/categorical.py", line 66, in __init__
    self.logits = logits - logits.logsumexp(dim=-1, keepdim=True)
KeyboardInterrupt
