Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 230/7812: Reward=-196.149, SPS=161, OffWin=0.50, DefWin=0.00
Update 231/7812: Reward=-259.813, SPS=161, OffWin=0.17, DefWin=0.00
Update 232/7812: Reward=-326.653, SPS=161, OffWin=0.22, DefWin=0.00
Update 233/7812: Reward=-242.299, SPS=161, OffWin=0.20, DefWin=0.00
Update 234/7812: Reward=-164.078, SPS=161, OffWin=0.50, DefWin=0.00
Update 235/7812: Reward=-168.332, SPS=161, OffWin=0.40, DefWin=0.00
Update 236/7812: Reward=-223.199, SPS=161, OffWin=0.50, DefWin=0.00
Update 237/7812: Reward=-186.967, SPS=161, OffWin=0.33, DefWin=0.00
Update 238/7812: Reward=-224.177, SPS=161, OffWin=0.17, DefWin=0.00
Update 239/7812: Reward=-310.779, SPS=161, OffWin=0.22, DefWin=0.00
Update 240/7812: Reward=-304.443, SPS=161, OffWin=0.00, DefWin=0.00
Update 241/7812: Reward=-241.165, SPS=161, OffWin=0.00, DefWin=0.00
Update 242/7812: Reward=-210.808, SPS=161, OffWin=0.62, DefWin=0.00
Update 243/7812: Reward=-240.938, SPS=161, OffWin=0.20, DefWin=0.00
Update 244/7812: Reward=-139.570, SPS=161, OffWin=0.80, DefWin=0.00
Update 245/7812: Reward=-312.837, SPS=161, OffWin=0.17, DefWin=0.00
Update 246/7812: Reward=-235.648, SPS=161, OffWin=0.20, DefWin=0.00
Update 247/7812: Reward=-220.039, SPS=161, OffWin=0.33, DefWin=0.00
Update 248/7812: Reward=-278.158, SPS=161, OffWin=0.14, DefWin=0.00
Update 249/7812: Reward=-231.114, SPS=161, OffWin=0.50, DefWin=0.00
Update 250/7812: Reward=-246.210, SPS=161, OffWin=0.17, DefWin=0.00
Update 251/7812: Reward=-221.561, SPS=161, OffWin=0.33, DefWin=0.00
Update 252/7812: Reward=-240.788, SPS=161, OffWin=0.40, DefWin=0.00
Update 253/7812: Reward=-232.973, SPS=161, OffWin=0.33, DefWin=0.00
Update 254/7812: Reward=-188.729, SPS=161, OffWin=0.38, DefWin=0.00
Update 255/7812: Reward=-208.284, SPS=161, OffWin=0.40, DefWin=0.00
Update 256/7812: Reward=-152.071, SPS=161, OffWin=0.50, DefWin=0.00
Update 257/7812: Reward=-151.270, SPS=161, OffWin=0.33, DefWin=0.00
